,watch-title,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0
0,Binary Image Classification with CNN (Deep Learning) on Kaggle Dogs vs Cats Dataset,244 visualizações,Publicado em 23 de mar. de 2020,Ciência e tecnologia,"#download #Kaggle #Google



    Binary Image Classification with CNN (Deep Learning) on Kaggle Dogs vs Cats Dataset","TheClassofAI













Carregando...
    







        Cancelar inscrição de TheClassofAI?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição67 











Carregando...
    









Carregando...
    













        Processando...","244 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/-DDrE6T0ct4/hqdefault.jpg,480.0,360.0,"In this tutorial, we have covered how to train a binary image classification deep learning model using a CNN on Kaggle Dogs vs Cats dataset: https://www.kagg...",1280.0,720.0,ImageClassification,/channel/UCYlOdJBJQN4c7k25uzwSwJA
1,Azure Machine Learning in Action! | COM216,Nenhuma visualização,Publicado em 26 de mai. de 2020,Ciência e tecnologia,Azure Machine Learning in Action! | COM216,"Microsoft Developer













Carregando...
    







        Cancelar inscrição de Microsoft Developer?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição212 mil 











Carregando...
    









Carregando...
    













        Processando...","Nenhuma visualização







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/-HDESJBanZg/maxresdefault.jpg,1280.0,720.0,"Community Connections experience - What is Machine Learning (ML) and who needs it? ML is making sense of data. So if you have data you want to understand, ML...",1280.0,720.0,Lindsey Murphy,/channel/UCsMica-v34Irf9KVTh6xx-g
2,Tutorial 57: Bellman Equation and Q Learning in Reinforcement Learning for Optimality in Urdu/Hindi,60 visualizações,Publicado em 24 de mai. de 2020,Ciência e tecnologia,"#deeplearning #machineleanring #artificialintelligence



    Tutorial 57: Bellman Equation and Q Learning in Reinforcement Learning for Optimality in Urdu/Hindi","Fahad Hussain













Carregando...
    







        Cancelar inscrição de Fahad Hussain?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição4,03 mil 











Carregando...
    









Carregando...
    













        Processando...","60 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/-cmWl4g4oyY/hqdefault.jpg,480.0,360.0,"For Code, Slides and Notes https://fahadhussaincs.blogspot.com/ Artificial Intelligence, Machine Learning and Deep learning are the one of the craziest topic...",1280.0,720.0,Fahad,/channel/UCapJpINJKHzflWwCQ8Kse2g
3,Introduction to Deep Learning - 6.Training Neural Networks,559 visualizações,Publicado em 23 de mai. de 2020,Ciência e tecnologia,Introduction to Deep Learning - 6.Training Neural Networks,"Matthias Niessner













Carregando...
    







        Cancelar inscrição de Matthias Niessner?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição6,06 mil 











Carregando...
    









Carregando...
    













        Processando...","559 visualizações







22

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



23


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/-l_f5TeG_fo/hqdefault.jpg,480.0,360.0,Website: https://niessner.github.io/I2DL/ Slides: https://niessner.github.io/I2DL/slides/6.TrainingNN.pdf Introduction to Deep Learning (I2DL) - Lecture 6 TU...,960.0,720.0,machinelearning,/channel/UCXN2nYjVT0cR9G61RPEzK5Q
4,Intro to Machine Learning - Missing Values,36 visualizações,Publicado em 24 de mai. de 2020,Educação,Intro to Machine Learning - Missing Values,"Sonu Jha













Carregando...
    







        Cancelar inscrição de Sonu Jha?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição20 











Carregando...
    









Carregando...
    













        Processando...","36 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/-vgTkKTHB7g/maxresdefault.jpg,1280.0,720.0,"In this tutorial, you will learn three approaches to dealing with missing values. Then you'll compare the effectiveness of these approaches on a real-world d...",960.0,720.0,#machine#learning,/channel/UCjEZLTw9tJHKxo_lAeNGpuA
5,"Address by Dr. Francesca Dominici, Director of the Harvard Data Science Initiative , 22 May 2020",4 visualizações,Publicado em 26 de mai. de 2020,Notícias e política,"Address by Dr. Francesca Dominici, Director of the Harvard Data Science Initiative , 22 May 2020","OSCE Parliamentary Assembly













Carregando...
    







        Cancelar inscrição de OSCE Parliamentary Assembly?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição348 











Carregando...
    









Carregando...
    













        Processando...","4 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/0-o1VnCFm4Q/hqdefault.jpg,480.0,360.0,"Dr. Francesca Dominici, Director of the Harvard Data Science Initiative and Professor of Biostatistics, OSCE PA Parliamentary Web Dialogue ""COVID-19: A turni...",640.0,360.0,,/channel/UCThKCTu7zkfJn0KgaYufK9g
6,Data Science Tutorial For Beginners | What Is Data Science? | 3RI Technologies,21 visualizações,Publicado em 26 de mai. de 2020,Educação,Data Science Tutorial For Beginners | What Is Data Science? | 3RI Technologies,"3RI Technologies - AWS, DevOps, Selenium, Python Training in Pune













Carregando...
    







        Cancelar inscrição de 3RI Technologies - AWS, DevOps, Selenium, Python Training in Pune?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição77 











Carregando...
    









Carregando...
    













        Processando...","21 visualizações







1

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/0KgVxjx3RCo/maxresdefault.jpg,1280.0,720.0,3RI Technologies Data Science Training: https://www.3ritechnologies.com/course/data-science-training-in-pune/ This 3RI Technologies Data Science Tutorial wil...,1280.0,720.0,free demo data science,/channel/UCQrYtU3mlW9rEy7YqDgXpuw
7,,,,,,,,https://i.ytimg.com/vi/0LwB41-dKOA/maxresdefault.jpg,1280.0,720.0,"Wish to become an ML Engineer? Then this YouTube live is for you. In this much-awaited technical AMA, Unilever ML Leader, Devesh Raj will explain how to get ...",1280.0,720.0,,
8,Kaggle Timelapse - Comprehensive data exploration with Python,11 visualizações,Publicado em 9 de abr. de 2020,Ciência e tecnologia,Kaggle Timelapse - Comprehensive data exploration with Python,"Kaggle Spotlights













Carregando...
    







        Cancelar inscrição de Kaggle Spotlights?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição23 











Carregando...
    









Carregando...
    













        Processando...","11 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/11xqM1jJY9g/maxresdefault.jpg,1280.0,720.0,Boost your career with the IBM Data Science Professional Certificate (7-day free trial): https://bit.ly/ibmdatasciencetrial Comprehensive data exploration wi...,1280.0,720.0,AI,/channel/UCqmd0kgmsmj435yWi5knbfg
9,Covid 19 Global forecasting prediction using Machine Learning Kaggle Kernel,285 visualizações,Publicado em 5 de abr. de 2020,Ciência e tecnologia,"India



    Covid 19 Global forecasting prediction using Machine Learning Kaggle Kernel","Dipesh Pal













Carregando...
    







        Cancelar inscrição de Dipesh Pal?
      


Não
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição10,6 mil 











Carregando...
    









Carregando...
    













        Processando...","285 visualizações







11

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



12


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/1CwkkQO_rUk/maxresdefault.jpg,1280.0,720.0,Covid 19 Global forecasting prediction using Machine Learning Kaggle Kernel Kaggle Covid 19: https://www.kaggle.com/covid19 COVID19 Global Forecasting (Week ...,1280.0,720.0,covid 19 medicine,/channel/UCGEoRAK92fUk2kY3kSJMR_Q
